id,report,label
1,"Premise: A young girl is popping bubbles a woman is blowing.

Two people are playing together.",0.0
2,"Premise: Two girls wade in the surf, and one shows of her flexibility.

The two girls are tanning in the sun.",2.0
3,"Premise: A man with a beard reclines in the snow.

The man is inside.",1.0
4,"Premise: These people are in a restaurant, having drinks, and playing various instruments.

People in a restaurant having fun.",0.0
5,"Premise: Two adults and a small child pose outside a dwelling.

A family poses in front of their home.",0.0
6,"Premise: Man in yellow shirt waiting for his car to be washed.

A man is having a service performed.",0.0
7,"Premise: A white fluffy dog leaning though a window.

A dog leans out a window.",0.0
8,"Premise: An old man gets some barbecue

An old man has a plate full of barbecued beef brisket and short ribs.",0.0
9,"Premise: A girl is swinging and looking down with her hair flying.

girl swinging",0.0
10,"Premise: The girl in the purple jacket is laying in a hole that has been dug out of the snow.

A girl is playing.",2
