id,report,label
1,"Premise: A street artist is at work.

An artist is playing video games.",2.0
2,"Premise: A person is flying through the air on a snowboard as the wind picks up some snow.

Someone is flying through the air on a snowboard as the wind picks up some snow.",0.0
3,"Premise: The little boy in the red shirt put his head out of the window of the train.

The boy in red put his head out the window for fresh air.",0.0
4,"Premise: People working in a hole searching for something

People are holding flashlights.",2.0
5,"Premise: Two teams of men (one wearing green uniforms and one wearing black and white uniforms) are playing a sport on ice wearing rollerskates.

Two teams are racing each other down the hill on sleds.",2.0
6,"Premise: A snowboarding couple poses with their boards in front of a stand of trees.

A snowboarding couple race down the slopes.",2.0
7,"Premise: A waitress is taking orders at work.

A woman is sleeping her bed.",1.0
8,"Premise: A streetcar moves up a narrow road while a group of people gathers at the bottom of the hill.

The people are looking at the car as it drives by.",2.0
9,"Premise: A group of people wearing Asian style clothing are outside on a concrete setting in front of trees and buildings.

the people are going shopping together",1.0
10,"Premise: A man is walking down a street with bicycles behind him.

A man rides his bicycle down the street.",2
