id,report,label
1,"Premise: A small boy is sweeping the wooden deck behind a house with an over-sized broom; a wild forest is in the back.

A small boy is running in the forest behind his house.",2.0
2,"Premise: A balding man in a blue tank-top cleans a window from the outside, while a you girl in blue cleans from the inside.

A man and young girl clean a window from both sides.",0.0
3,"Premise: A middle-aged haggard looking redhead in a white shirt and silver necklace, is listening on a yellow phone.

The middle-aged person is a man.",2.0
4,"Premise: A man and a woman locking arms (wearing expensive clothing) next to glass display (perhaps retail stores) on the sidewalk in an urban setting.

There are people on the sidewalk",2.0
5,"Premise: Two ladies in winter clothes playing with a duck and snow.

Two men are reading the newspaper.",2.0
6,"Premise: People sit on folding chairs outside in front a burning fire.

It is night time.",1.0
7,"Premise: Five men are riding a motorized boat through a river.

Five men are sitting on a stationary boat in a river",2.0
8,"Premise: A bicyclist is in the air in the middle of a flip.

A person is doing a trick on their bike.",0.0
9,"Premise: a group of teenagers are jumping in the air on the beach.

The teens are at the beach.",0.0
10,"Premise: Competitive swimmers leap from the edge of a pool, towards the water.

Competitive swimmers dive into the water.",0
